,gvkey,adate,qdate,public_date,PE,DPR,ROE,PTB,PEG,DIVY,TICKER,Year,Completeness_Score,,,,,,,
3103,5496,12/31/2021,9/30/2022,1/31/2023,-6.108,0,-0.143,1.04,0.145,0,HSC,2023,10,,,,,,,
33499,41270,4/30/2023,10/31/2023,12/31/2023,-0.263,0,-9.268,47.089,0.145,0,HSCS,2023,9,,,,,,,
12678,21000,12/31/2022,9/30/2023,11/30/2023,-0.288,0,-1.599,1.491,0,0,HSDT,2023,10,,,,,,,
34397,61494,12/31/2022,12/31/2022,4/30/2023,20.668,0,0.155,3.045,10.093,0,HSIC,2023,11,,,,,,,
37911,120048,12/31/2022,6/30/2023,10/31/2023,8.14,0.203,0.154,1.123,0.032,2.47%,HSII,2023,12,,,,,,,
35984,65011,12/31/2022,3/31/2023,5/31/2023,-62.036,0,-0.046,3.009,-2.155,0,HSKA,2023,10,,,,,,,
40274,153128,12/31/2022,9/30/2023,11/30/2023,32.061,0,0.033,0.948,0.145,0,HSON,2023,10,,,,,,,
38593,133766,12/31/2022,9/30/2023,11/30/2023,58.14,0.176,0.037,2.117,9.691,0.40%,HSTM,2023,12,,,,,,,
24916,36525,12/31/2022,9/30/2023,11/30/2023,-0.112,0,-0.946,0.267,0,0,HSTO,2023,10,,,,,,,
3258,5597,12/31/2022,9/30/2023,12/31/2023,20.091,0.45,0.517,6.542,1.129,2.56%,HSY,2023,12,,,,,,,
42264,170419,6/30/2023,9/30/2023,12/31/2023,8.712,0.131,0.116,0.966,0.21,1.63%,HTBI,2023,12,,,,,,,
37154,109599,12/31/2022,9/30/2023,12/31/2023,8.479,0.441,0.113,0.916,0.247,5.24%,HTBK,2023,12,,,,,,,
33084,40534,12/31/2022,9/30/2023,11/30/2023,-4.897,0,-0.322,1.568,0.1445,0,HTCR,2023,9,,,,,,,
13681,22713,12/31/2022,3/31/2023,5/31/2023,-0.119,0,-3.44,10.068,0,0,HTGM,2023,10,,,,,,,
40537,156953,12/31/2022,6/30/2023,10/31/2023,17.592,0.393,0.05,0.872,24.166,2.32%,HTH,2023,12,,,,,,,
8097,12840,12/31/2022,9/30/2023,12/31/2023,44.563,0.251,0.024,1.067,6.673,0.56%,HTLD,2023,12,,,,,,,
34552,61693,12/31/2022,9/30/2023,12/31/2023,7.935,0.327,0.127,0.936,0.742,3.19%,HTLF,2023,12,,,,,,,
3270,5600,12/31/2022,9/30/2023,12/31/2023,4.059,0,0.268,0.7,0.08,0,HTZ,2023,11,,,,,,,
3390,5764,12/31/2022,9/30/2023,12/31/2023,24.995,0.338,0.279,6.209,0.863,1.48%,HUBB,2023,12,,,,,,,
34841,62378,12/31/2022,9/30/2023,12/31/2023,6.831,0,0.124,1.59,0.089,0,HUBG,2023,11,,,,,,,
13252,21847,12/31/2022,9/30/2023,11/30/2023,-137.58,0,-0.177,20.955,-4.786,0,HUBS,2023,10,,,,,,,
17362,27914,12/31/2022,6/30/2023,10/31/2023,19.533,0.122,0.212,3.855,5.382,0.68%,HUM,2023,12,,,,,,,
31476,39525,12/31/2021,9/30/2022,1/31/2023,7.97,0,0.309,2.288,0.144,0,HUMA,2023,10,,,,,,,
41301,162401,12/31/2022,9/30/2023,11/30/2023,-298.36,0.377,-0.005,1.164,-2.936,3.86%,HUN,2023,12,,,,,,,
3425,5788,10/31/2022,7/31/2023,11/30/2023,40.327,1.222,0.015,0.6,0.332,3.05%,HURC,2023,12,,,,,,,
41139,161997,12/31/2022,9/30/2023,11/30/2023,26.71,0,0.133,3.324,0.144,0,HURN,2023,10,,,,,,,
39667,146659,12/31/2022,6/30/2023,10/31/2023,-24,0,-0.071,1.619,-0.072,0,HUSA,2023,10,,,,,,,
18706,29817,12/31/2022,3/31/2023,5/31/2023,27.944,0,0.054,1.542,0.138,0,HVBC,2023,11,,,,,,,
3149,5523,12/31/2022,9/30/2023,11/30/2023,8.077,0.536,0.221,1.484,0.208,7.02%,HVT,2023,12,,,,,,,
37304,111179,12/31/2022,9/30/2023,12/31/2023,13.617,0.351,0.105,1.508,2.287,2.68%,HWBK,2023,12,,,,,,,
14625,24232,12/31/2022,3/31/2023,7/31/2023,7.299,0.186,0.158,1.073,0.101,2.73%,HWC,2023,12,,,,,,,
3174,5530,3/31/2023,9/30/2023,12/31/2023,21.47,0.183,0.185,3.625,4.845,0.91%,HWKN,2023,12,,,,,,,
17651,28192,12/31/2022,9/30/2023,11/30/2023,34.379,0.113,0.18,5.674,0.753,0.38%,HWM,2023,12,,,,,,,
3286,5608,12/31/2022,12/31/2022,4/30/2023,48.376,0.268,0.076,3.619,0.266,0.69%,HXL,2023,12,,,,,,,
40921,160681,12/31/2022,9/30/2023,11/30/2023,7.615,0.267,0.474,2.068,0.138,2.73%,HY,2023,11,,,,,,,
46761,345920,12/31/2021,9/30/2022,1/31/2023,-0.321,0,-0.452,0.221,0.138,0,HYFM,2023,10,,,,,,,
26127,37182,12/31/2022,9/30/2023,11/30/2023,-0.836,0,-0.303,0.311,0.138,0,HYLN,2023,9,,,,,,,
43403,177405,12/31/2021,9/30/2022,1/31/2023,-5.597,0,-1,1.576,0,0,HYMC,2023,10,,,,,,,
27427,37799,12/31/2022,9/30/2023,11/30/2023,-1.939,0,-0.393,0.772,0.141,0,HYPR,2023,9,,,,,,,
21555,33624,12/31/2021,9/30/2022,1/31/2023,3.783,0,-3.731,7.143,0.141,0,HYRE,2023,8,,,,,,,
30726,39273,12/31/2022,9/30/2023,11/30/2023,-1.514,0,-0.595,1.492,0.141,0,HYZN,2023,9,,,,,,,
14200,23540,12/31/2021,9/30/2022,1/31/2023,3.8215,0,0.015,1.707,0.141,0,HZN,2023,6,,,,,,,
37292,111103,9/30/2023,9/30/2023,12/31/2023,7.988,0,0.123,0.891,0.277,0,HZO,2023,11,,,,,,,
21816,33750,12/31/2022,12/31/2022,2/28/2023,18.766,0,0.561,8.635,1.096,0,IAA,2023,11,,,,,,,
25183,36691,12/31/2022,6/30/2023,10/31/2023,14.93,0,0.042,0.541,0.137,0,IAC,2023,10,,,,,,,
34248,61181,12/31/2022,9/30/2023,11/30/2023,32.123,0,0.056,1.853,0.428,0,IART,2023,11,,,,,,,
30101,39069,12/31/2022,9/30/2023,11/30/2023,221.2,0,0.01,2.55,0.136,0,IAS,2023,10,,,,,,,
9712,16890,12/31/2022,9/30/2023,12/31/2023,9.13,0.317,0.17,1.446,1.224,3.54%,IBCP,2023,12,,,,,,,
44414,180683,6/30/2023,9/30/2023,11/30/2023,-1.595,0,-1.074,0.348,-0.004,0,IBIO,2023,10,,,,,,,
43184,176701,12/31/2022,9/30/2023,12/31/2023,15.073,0.071,0.197,2.617,0.357,0.48%,IBKR,2023,12,,,,,,,
3534,6066,12/31/2022,9/30/2023,12/31/2023,21.185,0.847,0.322,6.47,0.216,4.06%,IBM,2023,12,,,,,,,
13392,22086,12/31/2022,9/30/2023,11/30/2023,6.809,0.19,0.197,1.269,0.178,2.81%,IBOC,2023,12,,,,,,,
11625,19516,12/31/2022,9/30/2023,11/30/2023,17.221,0.253,0.467,6.498,0.394,1.47%,IBP,2023,12,,,,,,,
46795,347007,12/31/2022,9/30/2023,11/30/2023,-3.538,0,0.014,1.7065,-0.885,0,IBRX,2023,8,,,,,,,
10150,17451,12/31/2022,12/31/2022,4/30/2023,7.74,0.327,0.079,0.63,3.582,4.18%,IBTX,2023,12,,,,,,,
8108,12874,12/31/2022,9/30/2023,11/30/2023,-4.351,0,-0.284,1.367,0.135,0,ICAD,2023,9,,,,,,,
8269,13235,12/31/2022,12/31/2022,4/30/2023,-15.375,0,-0.079,1.255,-0.015,0,ICCC,2023,10,,,,,,,
18557,29598,12/31/2022,3/31/2023,7/31/2023,37.386,0,0.019,0.811,1.046,0,ICCH,2023,11,,,,,,,
21482,33549,12/31/2022,9/30/2023,11/30/2023,-0.679,0,0.014,1.733,0.135,0,ICCT,2023,8,,,,,,,
12801,21165,12/31/2021,9/30/2022,1/31/2023,-0.511,0,-0.479,0.261,0,0,ICD,2023,10,,,,,,,
41520,163610,12/31/2022,9/30/2023,12/31/2023,29.798,0.383,0.091,2.478,3.2,1.31%,ICE,2023,12,,,,,,,
42679,174637,12/31/2022,9/30/2023,11/30/2023,38.238,0.152,0.076,2.821,7.785,0.40%,ICFI,2023,12,,,,,,,
8784,14320,12/31/2022,9/30/2023,11/30/2023,-13.669,0,-0.692,11.058,0.1345,0,ICPT,2023,9,,,,,,,
27336,37783,12/31/2022,9/30/2023,11/30/2023,-0.154,0,0.014,1.707,0.1345,0,ICU,2023,7,,,,,,,
15331,25110,12/31/2021,9/30/2022,1/31/2023,-123.87,0,-0.02,2.14,0.1345,0,ICUI,2023,10,,,,,,,
31067,39358,12/31/2022,9/30/2023,11/30/2023,-4.6,0,-0.434,2.181,0.1345,0,ICVX,2023,9,,,,,,,
26633,37426,12/31/2022,9/30/2023,11/30/2023,-0.129,0,0.015,1.706,0.1345,0,ID,2023,7,,,,,,,
3449,5870,12/31/2022,9/30/2023,11/30/2023,18.004,0.59,0.074,1.285,5.53,3.44%,IDA,2023,12,,,,,,,
46759,345764,12/31/2022,9/30/2023,11/30/2023,-1.093,0,-3.575,3.353,0.134,0,IDAI,2023,9,,,,,,,
3557,6100,12/31/2022,9/30/2023,11/30/2023,13.744,0.19,0.315,4.402,0.145,1.60%,IDCC,2023,12,,,,,,,
15028,24658,12/31/2022,9/30/2023,11/30/2023,-0.033,0,-2.181,1.056,0,0,IDEX,2023,10,,,,,,,
38356,126020,12/31/2022,9/30/2023,11/30/2023,-11.118,0,-0.183,2.143,-0.041,0,IDN,2023,10,,,,,,,
36614,66246,12/31/2022,9/30/2023,11/30/2023,56,0,0.094,4.972,0.1345,0,IDR,2023,10,,,,,,,
34655,61899,12/31/2021,9/30/2022,1/31/2023,-14.656,0,-0.61,0.697,0.1345,0,IDRA,2023,10,,,,,,,
34853,62396,7/31/2023,10/31/2023,12/31/2023,23.51,0,0.198,4.019,0.625,0,IDT,2023,11,,,,,,,
44708,183565,10/31/2022,4/30/2023,6/30/2023,-1.967,0,-0.205,0.498,0.134,0,IDW,2023,9,,,,,,,
14582,24197,12/31/2022,9/30/2023,12/31/2023,56.638,0,1.078,35.243,2.546,0,IDXX,2023,11,,,,,,,
23124,35136,12/31/2022,9/30/2023,11/30/2023,-16.211,0,-0.266,3.99,-1.744,0,IDYA,2023,10,,,,,,,
33510,41293,12/31/2022,9/30/2023,11/30/2023,-5.68,0,-0.956,3.444,0.134,0,IE,2023,9,,,,,,,
36747,66371,9/30/2023,9/30/2023,12/31/2023,17.449,0,0.228,3.555,0.234,0,IESC,2023,11,,,,,,,
9216,15267,12/31/2022,9/30/2023,12/31/2023,26.705,0.304,0.185,4.478,1.415,1.18%,IEX,2023,12,,,,,,,
3545,6078,12/31/2022,9/30/2023,11/30/2023,221.2,47.588,0.001,1.007,0.133,4.30%,IFF,2023,11,,,,,,,
42171,166491,3/31/2023,9/30/2023,11/30/2023,-1.585,0,-0.649,1.433,-2.749,0,IGC,2023,10,,,,,,,
23824,35639,12/31/2022,9/30/2023,11/30/2023,-1.37,0,-0.856,0.873,-0.041,0,IGMS,2023,10,,,,,,,
27673,37928,12/31/2021,9/30/2022,1/31/2023,-2.917,0,0.015,1.6995,0.134,0,IGNY,2023,7,,,,,,,
1416,3105,12/31/2022,9/30/2023,11/30/2023,-0.377,0,-0.945,0.279,-0.005,0,IHRT,2023,10,,,,,,,
43048,176251,12/31/2022,9/30/2023,11/30/2023,15.407,0.642,0.129,1.878,0.161,4.33%,III,2023,12,,,,,,,
2467,4498,9/30/2023,9/30/2023,12/31/2023,23.066,1.273,0.082,1.915,0.265,6.84%,IIIN,2023,12,,,,,,,
21602,33638,9/30/2023,9/30/2023,11/30/2023,-287.57,0,-0.003,1.827,-1.089,0,IIIV,2023,10,,,,,,,
28655,38469,12/31/2022,9/30/2023,11/30/2023,-0.895,0,-0.42,0.45,0.134,0,IKNA,2023,9,,,,,,,
25435,36787,12/31/2022,9/30/2023,11/30/2023,-0.237,0,-0.841,0.385,0.134,0,IKT,2023,9,,,,,,,
12800,21155,12/31/2022,6/30/2023,8/31/2023,3.86,0,-0.066,1.101,0.134,0,ILLM,2023,8,,,,,,,
38953,138205,12/31/2022,6/30/2023,10/31/2023,-4.112,0,-0.55,2.651,0,0,ILMN,2023,10,,,,,,,
14633,24234,1/31/2023,1/31/2023,3/31/2023,-0.194,0,-1.482,0.662,-0.015,0,IMBI,2023,10,,,,,,,
9843,17101,12/31/2022,9/30/2023,11/30/2023,-104.82,0,-0.311,13.915,-5.845,0,IMGN,2023,10,,,,,,,
34490,61586,12/31/2021,9/30/2022,1/31/2023,-0.225,0,-3.524,0.899,-0.001,0,IMH,2023,10,,,,,,,
8193,12972,9/30/2023,9/30/2023,12/31/2023,7.781,0.058,0.147,0.822,0.678,0.76%,IMKTA,2023,12,,,,,,,
38409,126318,12/31/2022,12/31/2022,4/30/2023,7.163,0,0.205,1.362,0.193,1.82%,IMMR,2023,12,,,,,,,
31937,39677,12/31/2022,9/30/2023,11/30/2023,-5.554,0,-1.03,5.134,0.135,0,IMMX,2023,9,,,,,,,
25813,37035,12/31/2022,9/30/2023,11/30/2023,-4.144,0,-1.396,52.463,-0.375,0,IMNM,2023,10,,,,,,,
1332,2990,12/31/2022,9/30/2023,11/30/2023,-0.285,0,-0.938,0.468,-0.001,0,IMNN,2023,10,,,,,,,
29000,38674,12/31/2021,9/30/2022,1/31/2023,-0.778,0,-2.704,1.632,0.136,0,IMPL,2023,9,,,,,,,
24483,36204,12/31/2022,12/31/2022,4/30/2023,79.333,0,0.017,8.684,0.136,0,IMRA,2023,10,,,,,,,
30440,39189,12/31/2022,9/30/2023,11/30/2023,-3.527,0,-0.465,1.846,0.136,0,IMRX,2023,9,,,,,,,
46718,331856,12/31/2022,9/30/2023,11/30/2023,-0.384,0,-1.342,1.11,-0.197,0,IMUX,2023,10,,,,,,,
24260,35982,3/31/2023,9/30/2023,11/30/2023,-19.964,0,-0.693,22.48,-1.294,0,IMVT,2023,10,,,,,,,
21922,33911,12/31/2022,9/30/2023,11/30/2023,13.993,0,0.36,4.545,0.539,0,IMXI,2023,11,,,,,,,
26400,37352,12/31/2022,9/30/2023,11/30/2023,-0.748,0,-1.329,1.495,0.136,0,INAB,2023,9,,,,,,,
41222,162293,12/31/2022,6/30/2023,10/31/2023,9.802,0.143,0.043,0.401,1.164,1.47%,INBK,2023,12,,,,,,,
23523,35422,6/30/2023,9/30/2023,11/30/2023,-0.544,0,-1.865,2.705,0.136,0,INBS,2023,9,,,,,,,
23355,35306,12/31/2022,9/30/2023,11/30/2023,-4.887,0,-5.156,7.579,-0.165,0,INBX,2023,10,,,,,,,
18253,29127,12/31/2022,9/30/2023,11/30/2023,28.751,0,0.096,2.469,0.136,0,INCY,2023,10,,,,,,,
9700,16889,12/31/2022,9/30/2023,12/31/2023,11.25,0.371,0.092,1,0.69,3.34%,INDB,2023,12,,,,,,,
29904,38995,12/31/2022,9/30/2023,11/30/2023,-8.988,0,-0.33,2.803,0.136,0,INDI,2023,9,,,,,,,
46821,349972,12/31/2022,9/30/2023,11/30/2023,-1.256,0,-0.655,1.238,-0.176,0,INDP,2023,10,,,,,,,
32296,39810,12/31/2022,9/30/2023,11/30/2023,-36.897,0,-0.096,2.998,0.136,0,INFA,2023,9,,,,,,,
42861,175533,12/31/2021,9/30/2022,1/31/2023,-1.194,0,-2.204,2.573,0.136,0,INFI,2023,9,,,,,,,
43362,177257,12/31/2022,6/30/2023,8/31/2023,-117,0,-0.047,6.268,0.136,0,INFN,2023,9,,,,,,,
42667,174428,12/31/2022,9/30/2023,11/30/2023,200.6,0,0.019,4.128,5.573,0,INFU,2023,11,,,,,,,
11444,19274,12/31/2022,6/30/2023,10/31/2023,-1.064,0,-0.299,0.379,-0.003,0,INGN,2023,10,,,,,,,
36519,66016,12/31/2022,9/30/2023,12/31/2023,11.62,0,0.193,2.103,0.217,2.87%,INGR,2023,12,,,,,,,
31879,39642,12/31/2021,9/30/2022,1/31/2023,-2.931,0,-1.12,11.458,0.136,0,INKT,2023,9,,,,,,,
42383,170756,12/31/2022,9/30/2023,11/30/2023,30.143,0,0.076,1.834,0.136,0,INLX,2023,10,,,,,,,
22102,34078,12/31/2022,9/30/2023,11/30/2023,-6.176,0,-0.478,3.877,-0.323,0,INMB,2023,10,,,,,,,
28160,38174,6/30/2023,9/30/2023,12/31/2023,-20.69,0,-0.119,2.776,0.136,0,INNV,2023,9,,,,,,,
36889,66697,12/31/2022,6/30/2023,10/31/2023,-6.726,0,-0.683,0.58,-1.476,0,INO,2023,10,,,,,,,
17944,28717,12/31/2022,12/31/2022,4/30/2023,-15.045,0,-0.489,9.682,-0.451,0,INOD,2023,10,,,,,,,
39890,148396,12/31/2022,9/30/2023,11/30/2023,-0.012,0,-2.165,0.785,0,0,INPX,2023,10,,,,,,,
18594,29666,12/31/2022,6/30/2023,8/31/2023,22.339,0,0.018,1.693,0.138,0,INSE,2023,8,,,,,,,
39151,141178,12/31/2022,3/31/2023,7/31/2023,-16.652,0,0.018,1.693,-3.045,0,INSG,2023,8,,,,,,,
38761,136186,12/31/2022,9/30/2023,11/30/2023,-4.748,0,-8.228,40.698,-0.16,0,INSM,2023,10,,,,,,,
21375,33435,12/31/2022,12/31/2022,4/30/2023,-167.27,0,-0.124,15.673,-4.19,0,INSP,2023,10,,,,,,,
30893,39312,12/31/2022,9/30/2023,11/30/2023,-108.96,0,-0.026,2.914,0.1445,0,INST,2023,9,,,,,,,
7786,12471,12/31/2021,9/30/2022,1/31/2023,16.358,0.275,0.056,0.903,1.004,1.98%,INT,2023,12,,,,,,,
30114,39070,6/30/2023,9/30/2023,12/31/2023,-38.796,0,-0.232,7.603,0.144,0,INTA,2023,9,,,,,,,
3498,6008,12/31/2022,9/30/2023,12/31/2023,-128.85,0.748,-0.016,2.081,0.144,1.00%,INTC,2023,11,,,,,,,
4509,7632,6/30/2022,3/31/2023,7/31/2023,-27.132,0,0.019,1.69,-0.076,0,INTG,2023,8,,,,,,,
32758,39991,12/31/2022,9/30/2023,11/30/2023,-3.102,0,29.887,2.111,0.1445,0,INTS,2023,9,,,,,,,
35918,64915,12/31/2022,9/30/2023,11/30/2023,12.567,0,0.165,1.68,0.012,0,INTT,2023,11,,,,,,,
17387,27928,7/31/2023,10/31/2023,12/31/2023,68.309,0.359,0.152,10.295,7.411,0.58%,INTU,2023,12,,,,,,,
15484,25302,12/31/2021,9/30/2022,1/31/2023,-4.597,0,-3.722,19.139,-0.032,0,INTZ,2023,10,,,,,,,
13982,23226,12/31/2022,9/30/2023,11/30/2023,-3.329,0,-0.559,2.179,-2.197,0,INUV,2023,10,,,,,,,
40908,160668,12/31/2022,6/30/2023,10/31/2023,5.443,0,0.43,1.433,0.324,0,INVA,2023,11,,,,,,,
36237,65552,12/31/2021,9/30/2022,1/31/2023,-51.294,0,-0.036,2.667,-0.103,0,INVE,2023,11,,,,,,,
25388,36769,12/31/2022,6/30/2023,10/31/2023,-1.929,0,-0.537,1.737,-0.078,0,INZY,2023,10,,,,,,,
32583,39899,12/31/2022,9/30/2023,11/30/2023,-0.496,0,-0.614,0.489,0.151,0,IOBT,2023,9,,,,,,,
19883,31653,12/31/2022,9/30/2023,11/30/2023,-0.013,0,-1.681,0.378,0.151,0,IONM,2023,9,,,,,,,
32236,39800,12/31/2022,9/30/2023,11/30/2023,-18.53,0,-0.242,5.022,0.151,0,IONQ,2023,9,,,,,,,
14453,24040,12/31/2022,9/30/2023,11/30/2023,-17.237,0,-0.787,22.499,-0.037,0,IONS,2023,10,,,,,,,
8168,12956,12/31/2022,9/30/2023,11/30/2023,9.352,0,0.051,0.465,0.474,0,IOR,2023,11,,,,,,,
37231,110566,12/31/2022,9/30/2023,11/30/2023,20.724,0.263,0.114,2.268,0.339,1.37%,IOSP,2023,12,,,,,,,
32882,40292,1/31/2023,10/31/2023,12/31/2023,-77.628,0,-0.243,6.631,0.148,0,IOT,2023,9,,,,,,,
44223,180057,12/31/2022,9/30/2023,11/30/2023,-2.918,0,-0.802,2.244,-0.726,0,IOVA,2023,10,,,,,,,
3570,6104,12/31/2022,9/30/2023,12/31/2023,16.736,0.853,0.072,1.181,0.363,5.12%,IP,2023,12,,,,,,,
8761,14309,12/31/2022,9/30/2023,12/31/2023,29.152,0.479,0.252,6.672,0.314,1.74%,IPAR,2023,12,,,,,,,
5437,8661,12/31/2022,9/30/2023,11/30/2023,-3.837,0,-1.588,8.042,-0.059,0,IPDN,2023,10,,,,,,,
3582,6136,12/31/2022,9/30/2023,12/31/2023,13.6,0.508,0.257,3.397,0.684,3.80%,IPG,2023,12,,,,,,,
42963,175955,12/31/2022,9/30/2023,11/30/2023,52.615,0,0.035,1.884,1.79,0,IPGP,2023,11,,,,,,,
44175,179843,12/31/2022,9/30/2023,11/30/2023,47.767,0,0.008,0.375,0.194,0,IPI,2023,11,,,,,,,
29615,38920,12/31/2022,9/30/2023,11/30/2023,-0.623,0,-0.446,0.372,0.144,0,IPSC,2023,9,,,,,,,
28101,38126,12/31/2021,9/30/2022,1/31/2023,-0.07,0,0.0195,1.674,0.144,0,IPVA,2023,7,,,,,,,
27760,37971,6/30/2022,3/31/2023,7/31/2023,-2.397,0,-0.341,1.05,0.144,0,IPW,2023,10,,,,,,,
10827,18509,12/31/2022,9/30/2023,11/30/2023,-5.817,0,-0.556,4.33,-2.781,0,IPWR,2023,10,,,,,,,
10366,17928,12/31/2022,9/30/2023,11/30/2023,35.923,0,0.181,6.333,0.28,0,IQV,2023,11,,,,,,,
18917,30098,12/31/2022,3/31/2023,7/31/2023,41.573,0.05,0.067,2.642,0.188,0.12%,IR,2023,12,,,,,,,
41726,164416,12/31/2022,6/30/2023,10/31/2023,-2.411,0,-0.708,2.816,-0.014,0,IRBT,2023,10,,,,,,,
44758,183640,12/31/2022,9/30/2023,11/30/2023,-200.53,1.905,-0.019,4.466,0.144,1.36%,IRDM,2023,11,,,,,,,
34732,62168,12/31/2022,9/30/2023,11/30/2023,-5.313,0,-0.48,3.43,-0.143,0,IRIX,2023,10,,,,,,,
12642,20945,12/31/2022,9/30/2023,11/30/2023,34.328,0.81,0.236,7.428,0.545,2.39%,IRMD,2023,12,,,,,,,
31515,39535,1/31/2022,10/31/2022,2/28/2023,-0.34,0,-3.705,1.285,0.144,0,IRNT,2023,9,,,,,,,
27855,38027,12/31/2022,9/30/2023,11/30/2023,-17.858,0,-0.29,3.711,0.144,0,IRON,2023,9,,,,,,,
45915,187596,6/30/2023,6/30/2023,10/31/2023,9.931,0.272,0.065,0.661,2.131,2.83%,IROQ,2023,12,,,,,,,
17783,28367,12/31/2022,9/30/2023,11/30/2023,-24.719,0,-0.454,11.893,-0.903,0,IRTC,2023,10,,,,,,,
44984,184256,12/31/2022,3/31/2023,7/31/2023,10.98,0,0.317,2.448,0.128,0,IRWD,2023,11,,,,,,,
44593,183139,12/31/2022,9/30/2023,11/30/2023,42.361,0,0.042,1.621,22.076,0,ISDR,2023,11,,,,,,,
10893,18572,12/31/2022,3/31/2023,5/31/2023,-21.449,0,-0.628,10.903,-1.695,0,ISEE,2023,10,,,,,,,
14592,24204,12/31/2022,6/30/2023,10/31/2023,-3.992,0,1.211,0.599,-0.052,0,ISIG,2023,11,,,,,,,
30846,39307,12/31/2022,12/31/2022,2/28/2023,-0.393,0,-3.674,1.036,0.145,0,ISO,2023,9,,,,,,,
27152,37671,12/31/2022,9/30/2023,11/30/2023,-0.495,0,-0.54,0.4,0.145,0,ISPC,2023,9,,,,,,,
26453,37362,12/31/2022,9/30/2023,11/30/2023,-5.513,0,-3.965,1.232,0.145,0,ISPO,2023,9,,,,,,,
33880,41957,6/30/2023,9/30/2023,11/30/2023,-74.071,0,-0.135,18.146,0.145,0,ISPR,2023,9,,,,,,,
8070,12818,6/30/2022,12/31/2022,4/30/2023,-8.891,0,-0.169,3.153,-2.334,0,ISR,2023,10,,,,,,,
38790,136725,12/31/2022,12/31/2022,4/30/2023,82.526,0,0.115,9.559,18.672,0,ISRG,2023,11,,,,,,,
38725,135844,9/30/2023,9/30/2023,11/30/2023,21.143,0,0.174,3.342,0.877,0,ISSC,2023,11,,,,,,,
12393,20628,12/31/2022,9/30/2023,12/31/2023,6.747,0.173,0.103,0.697,0.044,2.68%,ISTR,2023,12,,,,,,,
23415,35367,12/31/2022,9/30/2023,11/30/2023,-0.069,0,-1.574,0.372,0,0,ISUN,2023,10,,,,,,,
7749,12441,12/31/2022,9/30/2023,12/31/2023,38.722,0,1.957,62.057,0.416,0,IT,2023,11,,,,,,,
11522,19412,12/31/2022,12/31/2022,4/30/2023,-22.849,0,-0.477,9.064,-4.19,0,ITCI,2023,10,,,,,,,
39092,140073,12/31/2022,9/30/2023,11/30/2023,36.041,0,0.052,1.8,6.678,0,ITGR,2023,11,,,,,,,
4947,8087,3/31/2022,9/30/2022,1/31/2023,-8.81,0,-0.229,2.379,-0.074,0,ITI,2023,10,,,,,,,
8831,14401,12/31/2022,9/30/2023,11/30/2023,12.254,0.393,0.094,1.117,3.61,3.86%,ITIC,2023,12,,,,,,,
25172,36679,12/31/2022,9/30/2023,11/30/2023,-5.318,0,-0.096,0.56,-0.012,0,ITOS,2023,11,,,,,,,
43245,176867,12/31/2021,9/30/2022,1/31/2023,0.971,0,-0.002,0.217,0.148,0,ITP,2023,10,,,,,,,
18276,29133,12/31/2022,6/30/2023,10/31/2023,67.388,0,0.034,2.161,1.49,0,ITRI,2023,11,,,,,,,
3438,5860,12/31/2022,9/30/2023,12/31/2023,22.728,0.216,0.194,4.066,0.473,0.97%,ITT,2023,12,,,,,,,
3462,5878,12/31/2022,9/30/2023,12/31/2023,25.406,0.507,0.877,22.733,1.529,2.14%,ITW,2023,12,,,,,,,
34499,61587,12/31/2022,3/31/2023,7/31/2023,-6.885,0,-0.106,0.779,-0.06,0,IVAC,2023,10,,,,,,,
3585,6158,12/31/2022,12/31/2022,3/31/2023,-0.006,0,-0.595,0.181,0,0,IVC,2023,10,,,,,,,
43815,178882,12/31/2022,9/30/2023,11/30/2023,-4.051,0,-0.387,1.851,0.145,0,IVDA,2023,9,,,,,,,
34027,43191,12/31/2022,9/30/2023,11/30/2023,-0.434,0,0.02,0.914,0.145,0,IVP,2023,8,,,,,,,
30690,39266,12/31/2022,9/30/2023,11/30/2023,-0.987,0,-0.506,0.682,0.145,0,IVVD,2023,9,,,,,,,
45820,187357,12/31/2022,9/30/2023,11/30/2023,-5.714,0,-0.098,0.575,-0.027,0,IZEA,2023,10,,,,,,,
3597,6216,9/30/2023,9/30/2023,12/31/2023,24.444,0.196,0.102,2.423,0.883,0.80%,J,2023,12,,,,,,,
8240,13092,9/30/2023,9/30/2023,11/30/2023,11.476,0.277,0.02,1.667,0.423,2.43%,JACK,2023,10,,,,,,,
20333,32316,12/31/2022,9/30/2023,11/30/2023,-0.059,0,-7.162,13.204,0,0,JAGX,2023,10,,,,,,,
34995,62745,12/31/2022,6/30/2023,10/31/2023,2.518,0.021,0.594,1.124,0.043,0,JAKK,2023,11,,,,,,,
25254,36717,12/31/2022,9/30/2023,11/30/2023,-18.099,0,-0.163,2.939,-0.243,0,JAMF,2023,10,,,,,,,
15040,24660,12/31/2022,9/30/2023,11/30/2023,0.28,0,0.554,0.136,0.151,0,JAN,2023,10,,,,,,,
29484,38857,12/31/2022,9/30/2023,11/30/2023,-5.939,0,-0.198,1.155,0.151,0,JANX,2023,9,,,,,,,
3402,5783,12/31/2022,9/30/2023,12/31/2023,26.919,0.222,0.167,4.117,1.245,0.84%,JBHT,2023,12,,,,,,,
29811,38961,12/31/2022,9/30/2023,11/30/2023,11.722,0,0.339,3.215,0.148,0,JBI,2023,10,,,,,,,
